title,author,link
Снова я напиваюсь,SLAVA MARLOW,https://zaycev.net/musicset/dl/177337abeb03fc429e45dfa2a4d61ac9/22485630.json
"Снова день, снова ночь",Dinar Rahmatullin,https://zaycev.net/musicset/dl/158c09c7a53581a9f0ea39cf8f0e6272/22438710.json
KIDS,A4,https://zaycev.net/musicset/dl/a410d63e4eda19e55357aa0fd1fa3c9c/22446813.json
Дави на газ,Ryze,https://zaycev.net/musicset/dl/41d733ae6906e548fe4cd2087b30b498/18081452.json
El Problema,MORGENSHTERN & Тимати,https://zaycev.net/musicset/dl/9fe62e555d456555ed2c1147e5ae28bf/22357591.json
Лада Приора [DJ MriD Remix],Mr.NЁMA,https://zaycev.net/musicset/dl/2d55fa2e347759c16e4999dc9dc09cf6/22037001.json
Дико тусим,"Даня Милохин, Николай Басков",https://zaycev.net/musicset/dl/538f6c8f022b658c22552ce82c586af8/22352471.json
Если тебе будет грустно,"Niletto, Rauf & Faik",https://zaycev.net/musicset/dl/65f2858273af4c1747dcf013b4402a88/21847355.json
Влад Бумага,Глент Кобяков,https://zaycev.net/musicset/dl/2c35498d6a56dc52e2bb6999ec306c2a/22031509.json
Гуччи флип флап,"MNША, Lipuchka",https://zaycev.net/musicset/dl/7f260e40082360aa5c9ff6d4fbc6d244/22308605.json
Lollipop,"MORGENSHTERN, Элджей",https://zaycev.net/musicset/dl/e8974f9e3041dd4df28fdad284a6e232/21840800.json
TIK TOK,Кобяков,https://zaycev.net/musicset/dl/0aeaab218ac966551820fbfbd358948c/22370264.json
Cadillac,"MORGENSHTERN, Элджей",https://zaycev.net/musicset/dl/2848b9a36983769014bb81fa7615b074/17810114.json
Юность,Dabro,https://zaycev.net/musicset/dl/03eeaa94c9a8593b35ae3ebf7d46b948/17991410.json
Поболело и прошло,HENSY,https://zaycev.net/musicset/dl/af098c4abe30e15f7b1312e2fab9682e/17695864.json
Ты такая красивая,Niletto,https://zaycev.net/musicset/dl/9c2c2dc0c5aebbcb0ed9c539ee614de7/17136308.json
А если это любовь?,HammAli & Navai,https://zaycev.net/musicset/dl/982af5f856a0ae7114b3d9d57d00d3fb/17897115.json
Лада приора,Чечня,https://zaycev.net/musicset/dl/f09fdf0f28ea708e1236b7470981b147/4444204.json
Девчонка из сети,Вирус,https://zaycev.net/musicset/dl/e2dce0c53a28bdb8d2c85f0848c4272d/21658021.json
РОЛЕКС,DAVA,https://zaycev.net/musicset/dl/1b0b67d99f6a9a5b0ee6bffb95593bfa/21655100.json
БЕГИ feat. Poët,DJ Smash,https://zaycev.net/musicset/dl/23952bef7b88ff50a27d6e7cf0538b47/21470766.json
Окей мы просто играем в жизнь,Тима Белорусских,https://zaycev.net/musicset/dl/e2e81a3be3152548bec28aac833a7013/21795525.json
Дал Дал Ушёл,MUTI,https://zaycev.net/musicset/dl/bf67e3449e68e952bd697c1646f9e889/17093021.json
Fendi,Rakhim,https://zaycev.net/musicset/dl/a26d67abbd5119277e57b56990c7969b/18010379.json
Тишины хочу,Антиреспект,https://zaycev.net/musicset/dl/fc57ed25995a575009b81b944ed26370/3175360.json
Ауф,Нурминский,https://zaycev.net/musicset/dl/9bc817a0041fd20e8a6b6d3e13bb84db/8633041.json
